Date,Temp_C,Humidity,Precip,Dew_C,Nigeria_Precip_mm,Proxy_Factor,Adj_Humidity_%,DC_T_out_C,Rack_ID,Heat_Flux_Wm2
2024-09-02,26.5,87.3,0.024,24.1,1150,1.05,91.7,35.28,1,17552
2024-09-03,27.0,86.2,0.087,24.4,1150,1.05,90.5,35.69,2,17385
2024-09-04,27.4,83.8,0.004,24.3,1150,1.05,88.0,35.62,3,16345
2024-09-05,27.2,85.8,0.004,24.4,1150,1.05,90.1,35.73,1,17016
2024-09-06,25.8,91.1,1.535,24.2,1150,1.05,95.7,35.81,2,20057
2024-09-07,25.3,93.9,0.056,24.2,1150,1.05,98.6,35.58,3,20602
2024-09-08,26.7,86.8,0,24.1,1150,1.05,91.1,35.31,1,17294
2024-09-09,26.4,89,0.016,24.3,1150,1.05,93.5,35.28,2,17774
2024-09-10,26.1,90.5,2.283,24.3,1150,1.05,95.0,35.28,3,18329
2024-09-11,25.6,92.9,0.276,24.3,1150,1.05,97.5,35.31,1,19516
2024-09-12,26.9,86.6,0.039,24.3,1150,1.05,90.9,35.31,2,16850
2024-09-13,26.7,88.2,0.461,24.5,1150,1.05,92.6,35.28,3,17107
2024-09-14,25.7,89.5,0.039,23.8,1150,1.05,94.0,35.20,1,18956
2024-09-15,26.8,86.4,0.004,24.2,1150,1.05,90.7,35.35,2,17148
2024-09-16,27.4,84.9,0.012,24.5,1150,1.05,89.1,35.54,3,16304
2024-09-17,24.8,93.4,1.811,23.7,1150,1.05,98.1,35.54,1,21415
2024-09-18,26.3,86.9,0.267,23.8,1150,1.05,91.2,35.43,2,18188
2024-09-19,26.2,89.6,0.276,24.3,1150,1.05,94.1,35.39,3,18334
2024-09-20,26.1,88.7,0.276,23.9,1150,1.05,93.1,35.43,1,18632
2024-09-21,26.5,87.1,0.354,24.0,1150,1.05,91.5,35.43,2,17855
2024-09-22,27.2,85.3,0.157,24.4,1150,1.05,89.6,35.43,3,16410
2024-09-23,26.8,86.9,0.079,24.4,1150,1.05,91.2,35.50,1,17339
2024-09-24,26.1,88.6,0.024,23.9,1150,1.05,93.0,35.50,2,18784
2024-09-25,25.7,90.8,1.26,24.1,1150,1.05,95.3,35.47,3,19486
2024-09-26,26.5,89.6,0,24.4,1150,1.05,94.1,35.47,1,17930
2024-09-27,25.9,89.7,0.118,24.1,1150,1.05,94.2,35.43,2,18966
2024-09-28,25.7,89.8,0.032,23.8,1150,1.05,94.3,35.39,3,19446
2024-09-29,27.0,86.6,0.186,24.4,1150,1.05,90.9,35.39,1,16779
2024-09-30,26.7,87.3,0.236,24.4,1150,1.05,91.7,35.39,2,17446
2024-10-01,26.9,87.6,0.039,24.6,1150,1.05,92.0,35.39,3,17001
2024-10-02,26.9,85.8,0,24.2,1150,1.05,90.1,35.35,1,16925
2024-10-03,25.0,94.4,0.312,24.0,1150,1.05,99.1,35.35,2,20703
2024-10-04,25.3,92.6,1.693,24.0,1150,1.05,97.2,35.35,3,20036
2024-10-05,25.3,92.4,0.906,23.9,1150,1.05,97.0,35.35,1,20148
2024-10-06,25.6,92,0.068,24.1,1150,1.05,96.6,35.39,2,19557
2024-10-07,24.9,92.8,1.378,23.7,1150,1.05,97.4,35.43,3,20966
2024-10-08,25.4,90.8,0.039,23.7,1150,1.05,95.3,35.43,1,19966
2024-10-09,26.3,87.7,0.241,24.1,1150,1.05,92.1,35.47,2,18264
2024-10-10,27.4,83.4,0,24.2,1150,1.05,87.6,35.58,3,16269
2024-10-11,27.7,82.8,0.004,24.2,1150,1.05,86.9,35.54,1,15637
2024-10-12,25.8,90.9,0.236,24.2,1150,1.05,95.4,35.54,2,19415
2024-10-13,25.4,90.8,0.039,23.8,1150,1.05,95.3,35.58,3,20269
2024-10-14,25.9,88.6,0.622,23.7,1150,1.05,93.0,35.62,1,19456
2024-10-15,25.9,86.6,0.012,23.1,1150,1.05,90.9,35.62,2,19456
2024-10-16,25.3,94.9,0.276,24.4,1150,1.05,99.6,35.62,3,20567
2024-10-17,26.7,86.3,0.134,24.0,1150,1.05,90.6,35.62,1,17900
2024-10-18,27.2,83.4,0,23.9,1150,1.05,87.6,35.62,2,16789
2024-10-19,27.2,87,0.102,24.7,1150,1.05,91.4,35.58,3,16824
2024-10-20,26.0,86.3,0.079,23.4,1150,1.05,90.6,35.62,1,19233
2024-10-21,26.6,87.4,0.083,24.1,1150,1.05,91.8,35.62,2,18122
2024-10-22,27.3,85.3,0.182,24.5,1150,1.05,89.6,35.58,3,16491
2024-10-23,28.2,82.8,0.012,24.8,1150,1.05,86.9,35.58,1,14713
2024-10-24,25.3,94.7,0.472,24.4,1150,1.05,99.4,35.58,2,20491
2024-10-25,26.3,89.4,0.039,24.2,1150,1.05,93.9,35.58,3,18602
2024-10-26,27.6,82.1,0.008,24.0,1150,1.05,86.2,35.62,1,16011
2024-10-27,26.7,87.1,0.079,24.2,1150,1.05,91.5,35.58,2,17824
2024-10-28,26.4,89.7,0,24.5,1150,1.05,94.2,35.58,3,18269
2024-10-29,27.0,89.3,0,24.9,1150,1.05,93.8,35.58,1,17158
2024-10-30,27.4,85.8,0,24.6,1150,1.05,90.1,35.62,2,16456
2024-10-31,26.3,89.2,0.079,24.2,1150,1.05,93.7,35.65,3,18754
2024-11-01,27.2,86.1,0.004,24.5,1150,1.05,90.4,35.69,1,16940
2024-11-02,27.1,87.4,0.008,24.7,1150,1.05,91.8,35.73,2,17238
